YEAR,STATE_FIPS,STATE,TOTAL_DEM_VOTES,TOTAL_REP_VOTES,TOTAL_VOTES,MARGIN_VICTORY,ABS_MARGIN_VICTORY,WINNING_PARTY,ELECTORAL_VOTES,TOP_TOPIC
2020,27,Minnesota,"1,447,785 ","1,196,135 ",2643920,-0.095180641,0.095180641,0,10,Healthcare
2020,28,Mississippi,"567,570 ","626,502 ",1194072,0.049354478,0.049354478,1,6,Economy
2020,29,Missouri,"1,386,493 ","1,321,244 ",2707737,-0.024097134,0.024097134,0,10,Economy
2020,30,Montana,"253,494 ","295,659 ",549153,0.076783155,0.076783155,1,3,Economy
2020,31,Nebraska,"405,160 ","497,358 ",902518,0.102156633,0.102156633,1,5,Economy
2020,32,Nevada,"860,108 ","382,532 ",1242640,-0.384323698,0.384323698,0,6,Healthcare
2020,33,New Hampshire,"399,739 ","310,274 ",710013,-0.126003749,0.126003749,0,4,Healthcare
2020,34,New Jersey,"2,459,846 ","1,343,868 ",3803714,-0.293391512,0.293391512,0,14,Economy
2020,35,New Mexico,"413,727 ","286,061 ",699788,-0.182436395,0.182436395,0,5,Economy
2020,36,New York,"5,155,392 ","2,870,999 ",8026391,-0.284610119,0.284610119,0,29,Economy
2020,37,North Carolina,"2,519,132 ","2,057,370 ",4576502,-0.100898503,0.100898503,0,15,Healthcare
2020,38,North Dakota,"182,682 ","216,634 ",399316,0.085026395,0.085026395,1,3,Economy
2020,39,Ohio,"2,870,488 ","2,407,714 ",5278202,-0.087676485,0.087676485,0,18,Economy
2020,40,Oklahoma,"702,481 ","742,354 ",1444835,0.027597269,0.027597269,1,7,Economy
2020,41,Oregon,"1,018,077 ","831,655 ",1849732,-0.100782816,0.100782816,0,7,Economy
2020,42,Pennsylvania,"3,316,311 ","2,490,736 ",5807047,-0.142167904,0.142167904,0,20,Economy
2020,44,Rhode Island,"279,764 ","205,179 ",484943,-0.153802199,0.153802199,0,4,Economy
2020,45,South Carolina,"1,143,725 ","1,075,996 ",2219721,-0.030512438,0.030512438,0,9,Economy
2020,46,South Dakota,"214,679 ","286,186 ",500865,0.142766015,0.142766015,1,3,Economy
2020,47,Tennessee,"1,485,140 ","1,415,351 ",2900491,-0.024060788,0.024060788,0,11,Economy
2020,48,Texas,"5,752,688 ","4,241,577 ",9994265,-0.151197862,0.151197862,0,38,Economy
2020,49,Utah,"534,856 ","504,435 ",1039290,-0.029270945,0.029270945,0,6,Economy
2020,50,Vermont,"191,952 ","107,468 ",299420,-0.28215884,0.28215884,0,3,Economy
2020,51,Virginia,"2,148,542 ","1,782,542 ",3931084,-0.093104192,0.093104192,0,13,Economy
2020,53,Washington,"2,090,655 ","1,174,643 ",3265298,-0.280529312,0.280529312,0,12,Economy
2020,54,West Virginia,"311,207 ","469,951 ",781158,0.203216507,0.203216507,1,5,Economy
2020,55,Wisconsin,"1,300,351 ","1,393,032 ",2693383,0.034410516,0.034410516,1,10,Immigration
2020,56,Wyoming,"83,257 ","125,620 ",208877,0.202814575,0.202814575,1,3,Economy
